old_tag,new_tag,action,notes,parent_broader_category
Grand Hotel,Grand Hotel (Sydney),synonym,Unqualified reference - all instances in collection refer to Sydney hotel,
Grand Hotel,Grand Hotel (Sydney),merge,Primary source evidence shows Grand Hotel refers to Phillip Street Sydney hotel,
Grand Hotel (Sydney) (building),Grand Hotel (Sydney) (building),hierarchy,parent=hotels (buildings),
Great Wentworth Falls Coal and Shale Mining Company,Great Wentworth Falls Coal and Shale Mining Company,hierarchy,parent=mining companies,
Great Western Hotel (building),Great Western Hotel (building),hierarchy,parent=hotels (buildings),
Great Western Railway,Great Western Railway,hierarchy,parent=railway,
Greater Katoomba,Greater Katoomba,hierarchy,parent=towns,
Greater Megalong,Greater Megalong,hierarchy,parent=towns,
Greenbank family,Greenbank family,hierarchy,parent=families,
Greenbank family,Greenbank family,keep,Substring coincidence - semantically unrelated concepts (automated triage),
grog,grog,hierarchy,parent=mixed alcoholic beverages,
gullies,gullies,hierarchy,parent=natural features,
hall,hall,hierarchy,parent=halls (singular generic term),
halls,halls,hierarchy,parent=community buildings,
halls,halls,hierarchy,parent=Cultural venues - THEMATIC,
Hartley Vale,Hartley Vale,hierarchy,parent=towns - THEMATIC,
Hartley Vale,Hartley Vale,hierarchy,parent=towns,
Hartley Vale,Hartley Vale mining district,synonym,Unqualified form refers to the town - use mining district qualifier when referring to the mining district,
Hartley Vale Cricket Club,Hartley Vale Cricket Club,hierarchy,parent=cricket clubs,
Hartley Vale Football Club,Hartley Vale Natives Football Club,synonym,Shortened name for Hartley Vale Natives Football Club,
Hartley Vale mines,Hartley Vale Shale Mine (site),merge,Generic plural form consolidated into site-specific qualified form,
Hartley Vale mining district,Hartley Vale mining district,hierarchy,parent=mining districts,
Hartley Vale Natives Football Club,Hartley Vale Natives Football Club,hierarchy,parent=football clubs,
Hartley Vale Shale Mine,Hartley Vale Shale Mine (site),merge,Use site-qualified form for consistency with other mining district structures,
Hartley Vale Shale Mine (site),Hartley Vale Shale Mine (site),hierarchy,parent=Hartley Vale mining district,
Hartman family,Hartman family,hierarchy,parent=families,
health & medicine,health & medicine,hierarchy,parent=(thematic grouping),
health conditions,health conditions,hierarchy,parent=health & medicine - THEMATIC,
health-related events,health-related events,hierarchy,parent=health & medicine - THEMATIC,
healthcare facilities,healthcare facilities,hierarchy,parent=institutional buildings,
Helensburgh,Helensburgh,hierarchy,parent=towns,
Hermitage Coal Mine,Hermitage colliery,synonym,Historical term for Hermitage Coal Mine - use standard mine nomenclature,
Hermitage Coal Mine (facility),Hermitage Coal Mine (facility),hierarchy,parent=coal mines,
historical event,historical event,hierarchy,parent=historical events (singular generic term),
historical events,historical events,hierarchy,parent=Events,
Hoffman's House,Hoffman's House (building),synonym,Unqualified variant from original Zotero tags,
Hoffman's House (building),Hoffman's House (building),hierarchy,parent=hotels (buildings),
horse accidents,horse accidents,hierarchy,parent=animal-powered transport accidents,
horse breeder,horse breeder,hierarchy,parent=animal breeders,
horse breeding,horse breeding,hierarchy,parent=animal breeding,
horse races,horse races,hierarchy,parent=sporting events,
horse races,horse races,hierarchy,parent=sport & recreation - THEMATIC,
horse racing,horse racing,hierarchy,parent=sport & recreation - THEMATIC,
horse racing,horse racing,merge,Remove from Recreation activities - use Spectator sports for watching horse racing; use Horse races (Events facet) for the sporting event itself,
horse straying,horse straying,merge,Use-for term for Stock trespass,
horse-drawn vehicle accidents,horse-drawn vehicle accidents,hierarchy,parent=horse accidents,
horseback riding,horseback riding,hierarchy,parent=recreation activities,
horseback riding accidents,horseback riding accidents,hierarchy,parent=horse accidents,
horseborne transportation,horseborne transportation,hierarchy,parent=transport,
horses,horses,hierarchy,parent=domestic animals,
horses,horses,keep,Substring coincidence - semantically unrelated concepts (automated triage),
horses,horses,merge,Remove from Recreation activities - horses are animals (agents) not activities; use 'Horseback riding' for the activity,
Horses,horses,synonym,Capitalized variant from original Zotero tags,
horticulture society,horticulture society,hierarchy,parent=cultural societies,
Horticulture society,horticulture society,synonym,Capitalized variant from original Zotero tags,
hospitality businesses,hospitality businesses,hierarchy,parent=commercial businesses,
hospitality worker,hospitality worker,hierarchy,parent=hospitality workers (singular generic term),
hospitality workers,hospitality workers,hierarchy,parent=alcohol & temperance - THEMATIC,
hospitality workers,hospitality workers,hierarchy,parent=occupations,
hotel (building),hotel (building),hierarchy,parent=hotels (buildings),
hotel (building),hotel (building),hierarchy,parent=accommodation buildings,Singular generic term for physical structure
hotel licensing,hotel licensing,hierarchy,parent=licensing,
Hotel Wentworth (building),Hotel Wentworth (building),hierarchy,parent=hotels (buildings),
hotellier,hotellier,hierarchy,parent=hotelliers,
hotelliers,hotelliers,hierarchy,parent=hospitality workers,
hotels,hotels,hierarchy,parent=Alcohol-related venues - THEMATIC,
hotels,hotels,hierarchy,parent=Domestic accommodation - THEMATIC (residential aspect),
Hotels,hotels (businesses),synonym,Capitalized variant from original Zotero tags,
hotels (buildings),hotels (buildings),hierarchy,parent=accommodation buildings,
hotels (businesses),hotels (businesses),hierarchy,parent=hospitality businesses,
hunting,hunting,hierarchy,parent=economic activities,
Husband family,Husband family,hierarchy,parent=families,
Hydora House Hotel (building),Hydora House Hotel (building),hierarchy,parent=hotels (buildings),
I.O.O.F. Hall,Odd Fellows' Hall,merge,Same building - IOOF = Independent Order of Odd Fellows,
illness,illness,hierarchy,parent=health conditions - THEMATIC,
illness,illness,hierarchy,parent=physical and health conditions,
Illness,illness,synonym,Capitalized variant from original Zotero tags,
Imperial Hotel,Imperial Hotel (building),synonym,Unqualified variant from original Zotero tags,
Imperial Hotel (building),Imperial Hotel (building),hierarchy,parent=hotels (buildings),
Independent Order of Odd Fellows,Independent Order of Odd Fellows,hierarchy,parent=lodges,
indigenous peoples,indigenous peoples,hierarchy,parent=marginalised groups - THEMATIC,
industrial buildings,industrial buildings,hierarchy,parent=Built Environment,
Industries,Industries,hierarchy,parent=Economy & Labour - THEMATIC,
Information Forms,Information Forms,hierarchy,parent=communications & postal services - THEMATIC,
Information Forms,Information Forms,hierarchy,parent=Communications & Postal Services - THEMATIC,
Information objects,Information objects,hierarchy,parent=communications & postal services - THEMATIC,
infrastructure,infrastructure,hierarchy,parent=Built Environment,
injury,injury,hierarchy,parent=health conditions - THEMATIC,
injury,injury,hierarchy,parent=physical and health conditions,
Injury,injury,synonym,Capitalized variant from original Zotero tags,
inquest,inquest,hierarchy,parent=inquests,Singular generic term
inquests,inquests,hierarchy,parent=legal events,
inquests,inquests,hierarchy,parent=legal proceedings,Polyhierarchical like court cases
institutional buildings,institutional buildings,hierarchy,parent=Built Environment,
insurance provision,insurance provision,hierarchy,parent=financial services,
Irish culture,Irish culture,hierarchy,parent=ethnic groups,
Isabellea J Long,Isabellea J Long,hierarchy,parent=hotelliers,
Isabellea J. Long,Isabellea J. Long,hierarchy,parent=hotelliers,
Jamieson Valley,Jamieson Valley,hierarchy,parent=valleys,
Jenolan Caves,Jenolan Caves,hierarchy,parent=caves & geological features,
Jenolan Caves,Jenolan Caves,hierarchy,parent=tourist attractions - THEMATIC,
Jenolan Caves,Jenolan Caves,hierarchy,parent=Tourist attractions - THEMATIC,
Jenolan Caves,Jenolan Cave,synonym,Singular form - always use plural as caves are a complex system,
Jenolan Caves Road,Jenolan Caves Road,hierarchy,parent=roads,
Jenolan Caves road,Jenolan Caves Road,synonym,Lowercase variant - use capitalised form,
Joseph Nimmo,Mr Joseph Nimmo,synonym,Short form without honorific - use Mr Joseph Nimmo,
justice & crime,justice & crime,hierarchy,parent=(thematic grouping),
Kanimbla Valley,Kanimbla Valley,hierarchy,parent=valleys,
Katoomba,Katoomba,hierarchy,parent=towns - THEMATIC,
Katoomba,Katoomba,hierarchy,parent=Greater Katoomba,
Katoomba,Katoomba,hierarchy,parent=towns,
Katoomba Amateur Dramatic Club,Katoomba Amateur Dramatic Club,hierarchy,parent=cultural societies,
Katoomba Amateur Minstrels,Katoomba Amateur Minstrels,hierarchy,parent=Minstrel shows - THEMATIC,
Katoomba Amateur Minstrels,Katoomba Amateur Minstrels,hierarchy,parent=minstrel troupes,
Katoomba Athletic Club,Katoomba Athletic Club,hierarchy,parent=athletic clubs,
Katoomba band,Katoomba band,hierarchy,parent=bands,
Katoomba Civilian Rifle Club,Katoomba Civilian Rifle Club,hierarchy,parent=rifle clubs,
Katoomba Coal and Shale Company,Katoomba Coal and Shale Company,hierarchy,parent=mining companies,
Katoomba Coal and Shale Mines,Katoomba Coal and Shale Company,synonym,Variant name for Katoomba Coal and Shale Company - refers to the company and its operations,
Katoomba coal mines,Katoomba Coal Mines (facility),synonym,Unqualified variant from original Zotero tags,
Katoomba Coal Mines (facility),Katoomba Coal Mines (facility),hierarchy,parent=coal mines,
Katoomba Congregational Church,Katoomba Congregational Church (organisation),synonym,Unqualified variant from original Zotero tags,
Katoomba Congregational Church (building),Katoomba Congregational Church (building),hierarchy,parent=Congregational churches (buildings),
Katoomba Congregational Church (organisation),Katoomba Congregational Church (organisation),hierarchy,parent=Congregational churches (organisations),
Katoomba Congregational Church (Sunday School),Katoomba Congregational Church (Sunday School),hierarchy,parent=sunday schools,
Katoomba Council,Katoomba Council,hierarchy,parent=councils,
Katoomba Council Chambers,Katoomba Council Chambers,hierarchy,parent=civic buildings,
Katoomba Court,Katoomba Court,hierarchy,parent=courts,
Katoomba Court,Katoomba Court,hierarchy,parent=court buildings,
Katoomba Courthouse,Katoomba Courthouse,hierarchy,parent=court buildings,
Katoomba Cricket Club,Katoomba Cricket Club,hierarchy,parent=cricket clubs,
Katoomba Falls,Katoomba Falls,hierarchy,parent=waterfalls,
Katoomba Family Hotel,Katoomba Family Hotel (building),synonym,Unqualified variant from original Zotero tags,
Katoomba Family Hotel (building),Katoomba Family Hotel (building),hierarchy,parent=family hotels,
Katoomba Football Club,Katoomba Football Club,hierarchy,parent=football clubs,
Katoomba Hotel,Katoomba Hotel (building),synonym,Unqualified variant from original Zotero tags,
Katoomba Hotel (building),Katoomba Hotel (building),hierarchy,parent=hotels (buildings),
Katoomba Lawn Tennis Club,Katoomba Lawn Tennis Club,hierarchy,parent=tennis clubs,
Katoomba Methodist Church,Methodist Church Katoomba,synonym,Variant naming pattern - standardized to [church name] [place],
Katoomba Progress Association,Katoomba Progress Association,hierarchy,parent=progress committees,
Katoomba Public School,Katoomba Public School,hierarchy,parent=schools,
Katoomba Rifle Reserve,Katoomba Rifle Reserve,hierarchy,parent=rifle reserves,
Katoomba Rifle Reserves,Katoomba Rifle Reserves,hierarchy,parent=volunteer rifle reserves,
Katoomba Rifle Reserves,Katoomba Rifle Reserve,synonym,Plural variant - standardised to singular,
Katoomba School of Arts,Katoomba School of Arts,hierarchy,parent=schools of arts,
Katoomba Shale Mine,Katoomba Shale Mine (facility),synonym,Unqualified variant from original Zotero tags,
Katoomba Shale Mine (facility),Katoomba Shale Mine (facility),hierarchy,parent=shale mines,
Katoomba Shooting Fishing and Excursion Club,Katoomba Shooting Fishing and Excursion Club,hierarchy,parent=outdoor recreation clubs,
Katoomba South,Katoomba South,hierarchy,parent=Greater Katoomba,
Katoomba South,South Katoomba,merge,Naming variant - contextual evidence shows South Katoomba used in newspaper sources,
Katoomba South mines,coal mine (facility),merge,Geographical folksonomy - tag with Katoomba South (location) + coal mine (or specific mine name if identified),
Katoomba station,Katoomba station,hierarchy,parent=railway infrastructure,
Katoomba Street,Katoomba Street,hierarchy,parent=roads,
Katoomba Street,Katoomba Street,hierarchy,parent=Carrington,
Katoomba Superior Public School,Katoomba Superior Public School,hierarchy,parent=schools,
Katoomba Tennis Club,Katoomba Tennis Club,hierarchy,parent=tennis clubs,
Katoomba Tennis Club,Katoomba Lawn Tennis Club,synonym,Shortened/historical name for Katoomba Lawn Tennis Club,
Katoomba Wesleyan Church,Wesleyan Church Katoomba,synonym,Variant naming pattern - standardized to [church name] [place],
labour organisation,labour organisation,hierarchy,parent=labour organisations (singular generic term),
labour organisations,labour organisations,hierarchy,parent=civic organisations,
labour organisations,labour organisations,hierarchy,parent=civic organisations,
Labour relations,Labour relations,hierarchy,parent=Economy & Labour - THEMATIC,
law enforcement,law enforcement,hierarchy,parent=government bodies,
law enforcement,law enforcement,hierarchy,parent=justice & crime - THEMATIC,
law enforcement,law enforcement,hierarchy,parent=societal activities,
law enforcement personnel,law enforcement personnel,hierarchy,parent=occupations,
lawn tennis club,lawn tennis club,hierarchy,parent=tennis clubs,
Lawn Tennis Club,lawn tennis club,synonym,Capitalized variant from original Zotero tags,
laws,laws,hierarchy,parent=legal concepts,
Lawson,Lawson,hierarchy,parent=towns,
Lawson Roman Catholic Church,Roman Catholic Church Lawson,synonym,Variant naming pattern - standardized to [church name] [place],
legal concepts,legal concepts,hierarchy,parent=Associated Concepts,
legal event,legal event,hierarchy,parent=legal events (singular generic term),
legal events,legal events,hierarchy,parent=Events,
legal events,legal events,hierarchy,parent=justice & crime - THEMATIC,
legal official,legal official,hierarchy,parent=legal officials (singular generic term),
legal officials,legal officials,hierarchy,parent=justice & crime - THEMATIC,
legal officials,legal officials,hierarchy,parent=occupations,
Legal outcomes,Legal outcomes,hierarchy,parent=justice & crime - THEMATIC,
Legal outcomes,Legal outcomes,hierarchy,parent=Justice & Crime - THEMATIC,
legal proceeding,legal proceeding,hierarchy,parent=legal proceedings (singular generic term),
legal proceedings,legal proceedings,hierarchy,parent=Events,
legal proceedings,legal proceedings,hierarchy,parent=justice & crime - THEMATIC,
Leura,Leura,hierarchy,parent=towns - THEMATIC,
Leura,Leura,hierarchy,parent=towns,
Leura Falls,Leura Falls,hierarchy,parent=waterfalls,
Leura Hotel (building),Leura Hotel (building),hierarchy,parent=hotels (buildings),
Leura Presbyterian Church,Presbyterian Church Leura,synonym,Variant naming pattern - standardized to [church name] [place],
Leura Progress Association,Leura Progress Association,hierarchy,parent=progress committees,
Leura Reserve,Leura Reserve,hierarchy,parent=reserves,
licence,licence,hierarchy,parent=licences (singular generic term),
licences,licences,hierarchy,parent=legal concepts,
licensing,licensing,hierarchy,parent=licensing & regulation - THEMATIC,
licensing,licensing,hierarchy,parent=regulatory processes,
Licensing,licensing,synonym,Capitalized variant from original Zotero tags,
licensing & regulation,licensing & regulation,hierarchy,parent=alcohol & temperance - THEMATIC,
Licensing Act,Licensing Act,hierarchy,parent=laws,
Licensing Act,Licensing Act,hierarchy,parent=licensing & regulation - THEMATIC,
Licensing Act,Licensing Act,hierarchy,parent=Licensing & regulation - THEMATIC,
licensing cases,licensing cases,hierarchy,parent=legal proceedings,
licensing cases,licensing cases,hierarchy,parent=licensing & regulation - THEMATIC,
Licensing Court,Licensing Court,hierarchy,parent=courts,
Licensing Court,Licensing Court,hierarchy,parent=licensing & regulation - THEMATIC,
Licensing Court,Licensing Court,hierarchy,parent=Licensing & regulation - THEMATIC,
licensing inspector,licensing inspector,hierarchy,parent=licensing & regulation - THEMATIC,
licensing inspector,licensing inspector,hierarchy,parent=public officials,
Licensing inspector,licensing inspector,synonym,Capitalized variant from original Zotero tags,
licensing offences,licensing offences,hierarchy,parent=licensing cases,
life events,life events,hierarchy,parent=Events,
life events,life events,hierarchy,parent=family & domestic life - THEMATIC,
liquor licensing,liquor licensing,hierarchy,parent=licensing,
liquor licensing applications,liquor licensing applications,hierarchy,parent=licensing cases,
liquor merchant,liquor merchant,hierarchy,parent=liquor merchants (singular generic term),
liquor merchants,liquor merchants,hierarchy,parent=hospitality workers,
liquor sales,liquor sales,hierarchy,parent=liquor trade,
liquor trade,liquor trade,hierarchy,parent=economic activities,
Lithgow,Lithgow,hierarchy,parent=towns,
Lithgow Council,Lithgow Council,hierarchy,parent=councils,
Lithgow Rovers,Lithgow Rovers,hierarchy,parent=football clubs,
livestock accidents,livestock accidents,hierarchy,parent=agricultural accidents,
lodge,lodge,hierarchy,parent=lodges (singular generic term),
lodges,lodges,hierarchy,parent=fraternal orders & lodges,
Lodges,lodges,synonym,Capitalized variant from original Zotero tags,
Loyal Orange Order,Loyal Orange Order,hierarchy,parent=lodges,
mailman,mailman,hierarchy,parent=mailmen,
mailmen,mailmen,hierarchy,parent=postal employees,
Major Sir Charles George Gordon,Major Sir Charles George Gordon,hierarchy,parent=soldiers,
Major Sir Charles George Gordon,Major Sir Charles George Gordon,hierarchy,parent=people - THEMATIC,
Manuell,Manuell,hierarchy,parent=hotelliers,
Maps,Maps,hierarchy,parent=document types,
marginalised groups,marginalised groups,hierarchy,parent=Race & Ethnicity - THEMATIC,
maritime worker,maritime worker,hierarchy,parent=maritime workers (singular generic term),
maritime workers,maritime workers,hierarchy,parent=occupations,
marriage,marriage,hierarchy,parent=life events,
Marriage,marriage,synonym,Capitalized variant from original Zotero tags,
Masonic Hall,Masonic Hall,hierarchy,parent=halls,
Masons,Freemasons,synonym,Informal name for Freemasons,
Materials,Materials,hierarchy,parent=(Getty AAT primary facet),
Materials,Materials,hierarchy,parent=(new top-level facet),
medical professional,medical professional,hierarchy,parent=medical professionals (singular generic term),
medical professionals,medical professionals,hierarchy,parent=health & medicine - THEMATIC,
medical professionals,medical professionals,hierarchy,parent=occupations,
Medlow,Medlow,hierarchy,parent=towns,
Megalong,Megalong,hierarchy,parent=towns - THEMATIC,
Megalong,Megalong,hierarchy,parent=Greater Megalong,
Megalong,Megalong,hierarchy,parent=towns,
Megalong Cricket Club,Megalong Cricket Club,hierarchy,parent=cricket clubs,
Megalong Hotel,Megalong Hotel (building),synonym,Unqualified variant from original Zotero tags,
Megalong Hotel (building),Megalong Hotel (building),hierarchy,parent=hotels (buildings),
Megalong miners' camp,Nellie's Glen (settlement),synonym,Historical term for the mining settlement at Nellie's Glen in Megalong Valley,
Megalong mines,Nellie's Glen Shale Mine (site),synonym,Historical reference term for shale mining operations in Megalong Valley - refers to the geographic site of Nellie's Glen Shale Mine,
Megalong Progress Committee,Megalong Progress Committee,hierarchy,parent=progress committees,
Megalong Shale Mines,Megalong Shale Mines (facility),synonym,Unqualified variant from original Zotero tags,
Megalong Shale Mines (facility),Megalong Shale Mines (facility),hierarchy,parent=shale mines,
Megalong Valley,Megalong Valley,hierarchy,parent=valleys,
Megalong Valley School,Megalong Valley School,hierarchy,parent=schools,
men,men,hierarchy,parent=demographic groups,
men,men,hierarchy,parent=family members by demographic - THEMATIC,
Meredith family,Meredith family,hierarchy,parent=families,
Methodist Band of Hope,Methodist Band of Hope,hierarchy,parent=religious social movements,
Methodist Church,Methodist Church (organisation),synonym,Unqualified variant from original Zotero tags,
Methodist Church (building),Methodist Church (building),hierarchy,parent=Methodist churches (buildings),
Methodist Church (organisation),Methodist Church (organisation),hierarchy,parent=Methodist churches (organisations),
Methodist Church Katoomba (organisation),Methodist Church Katoomba (organisation),hierarchy,parent=Methodist churches (organisations),
Methodist churches (buildings),Methodist churches (buildings),hierarchy,parent=churches (buildings),
Methodist churches (organisations),Methodist churches (organisations),hierarchy,parent=churches (organisations),
Middle camp,Middle camp,hierarchy,parent=Megalong,
Middle camp,Middle camp,hierarchy,parent=Mining settlements - THEMATIC,
Middle Camp,Middle Camp (settlement),synonym,Unqualified form - use settlement qualifier for clarity,
Middle Camp (settlement),Middle Camp (settlement),hierarchy,parent=Greater Megalong,
military,military,hierarchy,parent=military organisations - THEMATIC,
military,military,merge,Consolidate to Military activities (preferred term for activity facet),
Military,military,synonym,Capitalized variant from original Zotero tags,
military & war,military & war,hierarchy,parent=(thematic grouping),
military activities,military activities,hierarchy,parent=Activities,
military activities,military activities,hierarchy,parent=societal activities,
military activity,military activity,merge,Consolidate to Military activities (redundant singular form),
military events,military events,hierarchy,parent=military & war - THEMATIC,
military organisations,military organisations,hierarchy,parent=military & war - THEMATIC,
military organisations,military organisations,hierarchy,parent=organisations,
military personnel,military personnel,hierarchy,parent=military & war - THEMATIC,
military personnel,military personnel,hierarchy,parent=occupations,
military sports,military sports,hierarchy,parent=recreation activities,
military sports,military sports,hierarchy,parent=sport & recreation - THEMATIC,
mine (facility),mine (facility),hierarchy,parent=mines (singular generic term),
mine closure,mine closure,hierarchy,parent=economic events,
mine closure,mine closure,hierarchy,parent=mining activities - THEMATIC,
Mine closure,mine closure,synonym,Capitalized variant from original Zotero tags,
miner,miner,hierarchy,parent=miners (singular generic term),
miners,miners,hierarchy,parent=occupations,
miners,miners,hierarchy,parent=Mining workforce - THEMATIC,
miners,miners,hierarchy,parent=Workforce - THEMATIC,
miners,miners,hierarchy,parent=mining workforce - THEMATIC,
Miners,miners,synonym,Capitalized variant from original Zotero tags,
miners' dwelling,miners' dwelling,hierarchy,parent=miners' dwellings,Singular generic term
miners' dwellings,miners' dwellings,hierarchy,parent=Domestic accommodation - THEMATIC,
miners' dwellings,miners' dwellings,hierarchy,parent=dwellings,
miners' dwellings,miners' dwellings,hierarchy,parent=mining workforce - THEMATIC,
Miners' dwellings,miners' dwellings,synonym,Capitalized variant from original Zotero tags,
miners' families,miners' families,hierarchy,parent=families,
miners' families,miners' families,hierarchy,parent=families - THEMATIC,
miners' families,miners' families,hierarchy,parent=mining workforce - THEMATIC,
miners' families,miners' families,hierarchy,parent=Vulnerable populations - THEMATIC,
Miners' families,miners' families,synonym,Capitalized variant from original Zotero tags,
miners' huts,miners' dwellings,synonym,Informal term for miners' dwellings,
mines,mines,hierarchy,parent=industrial buildings,
mines & mining districts,mines & mining districts,hierarchy,parent=mining & industry - THEMATIC,
mining,mining,hierarchy,parent=economic activities,
mining,mining,hierarchy,parent=Industries - THEMATIC,
mining,mining,hierarchy,parent=mining activities - THEMATIC,
mining,mining,keep,Substring coincidence - semantically unrelated concepts (automated triage),
Mining,mining,synonym,Capitalized variant from original Zotero tags,
mining & industry,mining & industry,hierarchy,parent=(thematic grouping),
mining accident,mining accident,hierarchy,parent=mining accidents (singular generic term),
mining accidents,mining accidents,hierarchy,parent=accidents,
mining accidents,mining accidents,hierarchy,parent=Health-related events - THEMATIC,
mining accidents,mining accidents,hierarchy,parent=Mining incidents - THEMATIC,
mining accidents,mining accidents,hierarchy,parent=health-related events - THEMATIC,
mining accidents,mining accidents,hierarchy,parent=mining incidents - THEMATIC,
Mining accidents,mining accidents,synonym,Capitalized variant from original Zotero tags,
mining activities,mining activities,hierarchy,parent=mining & industry - THEMATIC,
mining companies,mining companies,hierarchy,parent=commercial businesses,
mining companies,mining companies,hierarchy,parent=Mining & Industry - THEMATIC,
mining companies,mining companies,hierarchy,parent=mining & industry - THEMATIC,
mining company,mining company,hierarchy,parent=mining companies (singular generic term),
mining districts,mining districts,hierarchy,parent=Places (existing facet),
mining districts,mining districts,hierarchy,parent=Places,
mining incidents,mining incidents,hierarchy,parent=mining & industry - THEMATIC,
mining infrastructure,mining infrastructure,hierarchy,parent=infrastructure,
mining infrastructure,mining infrastructure,hierarchy,parent=mining & industry - THEMATIC,
Mining settlements,Mining settlements,hierarchy,parent=Mining & Industry - THEMATIC,
mining transport,mining transport,hierarchy,parent=transport & infrastructure - THEMATIC,
mining workforce,mining workforce,hierarchy,parent=mining & industry - THEMATIC,
minister for mines,minister for mines,hierarchy,parent=public officials,
Minister for Mines,minister for mines,synonym,Capitalized variant from original Zotero tags,
Minnehaha,Minnehaha,hierarchy,parent=waterfalls,
Minors,children,broader,Broader term covering both children and Adolescents (ages <18),
Minors,children,broader,Broader term covering both children and Adolescents (ages <18),
Minors,Minors,merge,MANUAL REVIEW NEEDED: Merge to either Child or Adolescent based on context. Thesaurus entry: Minors = Child + Adolescent,
Minstrel shows,Minstrel shows,hierarchy,parent=racial stereotyping & performance - THEMATIC,
Minstrel shows,Minstrel shows,hierarchy,parent=Racial stereotyping & performance - THEMATIC,
minstrel troupe,minstrel troupe,hierarchy,parent=minstrel troupes (singular generic term),
minstrel troupes,minstrel troupes,hierarchy,parent=performance groups,
Miss Bradley,Miss Bradley,hierarchy,parent=named persons,
Miss Edith Delaney,Miss Edith Delaney,hierarchy,parent=people - THEMATIC,
Miss Edith Delaney,Miss Edith Delaney,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Miss Edwards,Miss Edwards,hierarchy,parent=named persons,
Miss Emily Potter,Miss Emily Potter,hierarchy,parent=people - THEMATIC,
Miss Emily Potter,Miss Emily Potter,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Miss Ettie Delaney,Miss Ettie Delaney,hierarchy,parent=people - THEMATIC,
Miss Ettie Delaney,Miss Ettie Delaney,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Miss Eva Peckman,Miss Eva Peckman,hierarchy,parent=named persons,
Miss Levina Kitch,Miss Levina Kitch,hierarchy,parent=named persons,
Miss Nellie North,Miss Nellie North,hierarchy,parent=named persons,
Miss Nelly Potter,Miss Nelly Potter,hierarchy,parent=people - THEMATIC,
Miss Nelly Potter,Miss Nelly Potter,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
mixed alcoholic beverage,mixed alcoholic beverage,hierarchy,parent=mixed alcoholic beverages (singular generic term),
mixed alcoholic beverages,mixed alcoholic beverages,hierarchy,parent=alcoholic beverages,
monasteries and friaries,monasteries and friaries,hierarchy,parent=religious organisations,
monastery or friary,monastery or friary,hierarchy,parent=monasteries and friaries (singular generic term),
Montrose House,Montrose House (building),synonym,Unqualified variant from original Zotero tags,
Montrose House (building),Montrose House (building),hierarchy,parent=hotels (buildings),
Mount Kembla Colliery Disaster,Mount Kembla Disaster,merge,Synonym - standardise to Mount Kembla Disaster,
Mount Kembla Colliery Disaster,Mount Kembla Disaster,synonym,Alternative name for 1902 mining disaster,
Mount Kembla Disaster,Mount Kembla Disaster,hierarchy,parent=mining accidents,
Mount Victoria,Mount Victoria,hierarchy,parent=towns - THEMATIC,
Mount Victoria,Mount Victoria,hierarchy,parent=towns,
Mount Victoria Catholic Church,Roman Catholic Church Mount Victoria,synonym,Variant naming pattern - standardized to [church name] [place],
Mount Victoria Hall,Mount Victoria Hall,hierarchy,parent=halls,
Mount Victoria Hotel,Mount Victoria Hotel (building),synonym,Unqualified variant from original Zotero tags,
Mount Victoria Hotel (building),Mount Victoria Hotel (building),hierarchy,parent=hotels (buildings),
Mount Victoria Progress Committee,Mount Victoria Progress Committee,hierarchy,parent=progress committees,
Mount Victoria School,Mount Victoria School,hierarchy,parent=schools,
mountain feature,mountain feature,hierarchy,parent=mountain features (singular generic term),
mountain features,mountain features,hierarchy,parent=natural features,
Mountain Rifle Reserves,Mountain Rifle Reserves,hierarchy,parent=volunteer rifle reserves,
Mountaineer Lodge,Mountaineer Lodge,hierarchy,parent=unaffiliated lodges,
Mr A G Rowell,Mr A G Rowell,hierarchy,parent=hotelliers,
Mr A G Rowell,Mr A G Rowell,hierarchy,parent=people - THEMATIC,
Mr A G Rowell,Mr A G Rowell,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr A J Parcell,Mr A J Parcell,hierarchy,parent=named persons,
Mr A Smith,Mr A Smith,hierarchy,parent=people - THEMATIC,
Mr A Smith,Mr A Smith,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr A Thorneycroft,Mr A Thorneycroft,hierarchy,parent=named persons,
Mr A W Stephen,Mr A W Stephen,hierarchy,parent=named persons,
Mr A. G. Rowell,Mr A. G. Rowell,hierarchy,parent=hotelliers,
Mr Ah Narm,Mr Ah Narm,hierarchy,parent=named persons,
Mr Albert C Wilson,Mr Albert C Wilson,hierarchy,parent=people - THEMATIC,
Mr Albert C Wilson,Mr Albert C Wilson,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr Alf Goodare,Mr Alf Goodare,hierarchy,parent=hotelliers,
Mr Alf. Goodare,Mr Alf. Goodare,hierarchy,parent=hotelliers,
Mr Allan West,Mr Allan West,hierarchy,parent=named persons,
Mr Arthur L Morris,Mr Arthur L Morris,hierarchy,parent=named persons,
