uuid,identifier,createdBy,createdAtGMT,modifiedBy,modifiedAtGMT,FeatureID,FeatureType,FeatureAuthor,FeatureTimestamp,OverviewPhotos,Latitude,Longitude,Northing,Easting,Accuracy,Description,PhotoOfSketch,Comments,Interpretation,Material,AsociatedMaterialNotes,DetailPhotos,IDsOfPicturesFromExternalCamera,ExternalPhotoNotes,geospatialcolumn,Artefact Functional type,Tags,RevisedFeatureType,x-ref,Notes
1000041593233663090,4028 {Artefact_scatter},Penny Crook,2020-06-27 04:54:23.091 GMT,Penny Crook,2020-06-27 04:54:40 GMT,4028,Artefact scatter,Penny Crook,2020-06-27 14:54:22+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/4028_Artefact_scatter__1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/4028_Artefact_scatter__2.jpg''}}",-33.740397,150.26026,246186.5502,6263255.58,2.4," scatter 10m downslope from GPS . feature 300?? pcln with purple litho to, clear vial, lustre over terracotta, manganese pressed rim glass. sparser as you go down. ",,,,,,,5009-13,,POINT(246186.550169 6263255.580349),Bottle,Artefact,Artefact,,
1000071593234071331,5002 {Hearth},Glenn van der Kolk,2020-06-27 05:01:20.880 GMT,Glenn van der Kolk,2020-06-27 05:01:20 GMT,5002,Hearth,Glenn van der Kolk,2020-06-27 15:01:11+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/5002_Hearth__1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/5002_Hearth__2.jpg''}}",-33.739996,150.260454,246203.3457,6263300.538,3,"S facing hearth with an ancillary wall to the E, constructed random rubble and unmodified sandstone cobble of various sizes, at least 4 courses intact stonework on N wall with mud/lime mortar mix in situ, hearth relatively well preserved however wall to the E is less so, appears to be 2 levels of platforms extending to the S of the stone work- lower W platform 2.4m wide X 5m length, upper E platform approx 10 to 20cm higher 2.7m wide X at least 3.5m length.",,,,Glass - Metal,ground cover @75% obscuring artefacts. Metal can bec camera 0615,,bec camera 0606 - 0614,,POINT(246203.345719 6263300.537998),Building material,Dwelling | Artefact,Hearth | Platform | Artefact,,
1000041593234183743,4029 {Isolated_find},Penny Crook,2020-06-27 05:03:09.216 GMT,Penny Crook,2020-06-27 05:03:09 GMT,4029,Isolated find,Penny Crook,2020-06-27 15:03:03+10:00,,-33.739979,150.260403,246198.5695,6263302.298,2.1,th,,,,,,,,,POINT(246198.569477 6263302.298066),,Artefact,Artefact,,
1000021593235946922,1006 {Hearth},Shawn  Ross,2020-06-27 05:32:39.152 GMT,Shawn  Ross,2020-06-27 05:52:23 GMT,1006,Hearth,Shawn  Ross,2020-06-27 15:32:26+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/1006_Hearth__1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/1006_Hearth__2.jpg''}, ''3'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/1006_Hearth__3.jpg''}}",-33.738949,150.262824,246419.8875,6263422.508,2.7,Locally sourced unmodified sandstone cobbles. One brick. Indistinct platform to The South. Up to 3.5 X 2.6m ,,,,Ceramic (cable helix purple TP plate in 2 pieces) - Glass (various bottle Glass. small Olive bottle . light green pickle.) - Metal - Other (rubber Or synthetic square frag),various artefacts scattered within 2m of hearth,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/DetailPhotos/1006_Hearth__1.jpg''}}",5023 to 5039,,POINT(246419.887534 6263422.508092),Bottle,Hut | Artefact | Food | Condiment,Hearth | Platform | Artefact,,
1000071593236488208,5003 {Rectangular},Glenn van der Kolk,2020-06-27 05:41:38.713 GMT,Glenn van der Kolk,2020-06-27 05:41:38 GMT,5003,Rectangular,Glenn van der Kolk,2020-06-27 15:41:28+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/5003_Rectangular__1.jpg''}}",-33.738985,150.262928,246429.6313,6263418.771,2.4,"apparent cut earth platform aligned NW/SE along long axis, cut into SW side and partially built up on NE side.",,,,,,,bec camera 0616 - 0620,,POINT(246429.631261 6263418.770807),,Hut,Platform,,
1000021593237302624,1008 {Hearth},Shawn  Ross,2020-06-27 05:55:10.017 GMT,Shawn  Ross,2020-06-27 05:55:10 GMT,1008,Hearth,Shawn  Ross,2020-06-27 15:55:02+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/1008_Hearth__1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/1008_Hearth__2.jpg''}}",-33.73891,150.262926,6263427.085,246429.225,3,damaged hearth with associated platform displaced by tree. Locally sourced unmodified sandstone cobbles standing 3 courses high in part. Indistinct remnant platform to The South east. Up to 3.2 X 4.8m .,,,,Ceramic - Glass,white ceramic and misc bottle Glass,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/DetailPhotos/1008_Hearth__1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/DetailPhotos/1008_Hearth__2.jpg''}}",5040-48,,POINT(246429.225024 6263427.085047),Bottle,Dwelling | Artefact,Hearth | Platform | Artefact,,
1000071593237589264,5004 {Hearth},Glenn van der Kolk,2020-06-27 05:59:57.625 GMT,Glenn van der Kolk,2020-06-27 05:59:57 GMT,5004,Hearth,Glenn van der Kolk,2020-06-27 15:59:49+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/5004_Hearth__1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/5004_Hearth__2.jpg''}}",-33.738684,150.263255,246459.048,6263452.963,2.4,"NW facing hearth, subtle earth platform extending NW of hearth,  5.8m length X 4.8m wide, sapplings growing across platform but mostly little sign of bioturbation.
Hearth: constructed of assorted sand stone cobbles, rock collapse across interrupt and exterior of feature. possible reuse of rock for modern? camp fire on N side of feature.",,,,Ceramic,,,bec camera 0621 - 0629,,POINT(246459.047965 6263452.962956),,Dwelling | Artefact,Hearth | Platform | Artefact,,
1000021593238264006,1009 {Isolated_find},Shawn  Ross,2020-06-27 06:11:07.186 GMT,Shawn  Ross,2020-06-27 06:11:07 GMT,1009,Isolated find,Shawn  Ross,2020-06-27 16:11:03+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/1009_Isolated_find__1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/1009_Isolated_find__2.jpg''}}",-33.73873364,150.2630274,246438.0977,6263446.897,3.216,unided metal brace with spear point at end,,,,Metal,unided metal brace with loop Or hook at end. wrought iron.,,5049-52,,POINT(246438.097737 6263446.896658),Tool,Artefact,Artefact,,
1000071593299852642,3008 {Hearth},Glenn van der Kolk,2020-06-27 23:18:48.803 GMT,Glenn van der Kolk,2020-06-27 23:18:48 GMT,3008,Hearth,Glenn van der Kolk,2020-06-28 09:17:32+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/3008_Hearth__1.jpg''}}",-33.738311,150.262863,246421.6225,6263493.372,2.4,"SE facing hearth, constructed from local sandstone, assorted sizes, two courses partially intact on SW side, stone paving across floor of hearth, 
platform: is indistinct, relatively intact and obscured by bracken, 3m wide X 4?m wide,",,,,,"nil artefacts evident, ground cover at approx 80%",,Bec camera 0630 - 0637,,POINT(246421.622541 6263493.372387),,Hut,Hearth | Platform,,
1000041593300342929,5005 {Hearth},Penny Crook,2020-06-27 23:25:47.227 GMT,Penny Crook,2020-06-27 23:25:47 GMT,5005,Hearth,Penny Crook,2020-06-28 09:25:42+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/5005_Hearth__1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/5005_Hearth__2.jpg''}}",-33.738317,150.262762,6263492.458,246412.2805,3,"SE facing hearth with at least 5 defined edging stones along NE side. possible single edging stone on SW side. on NE side if
interior of hearth corner standing to 6 coarses. within platform area few loose stones, no visible floor.  lots of overgrowth.",,,,Ceramic - Glass,Few frags of undiagnostic ceramic and glass 2m to NE. burnt light green pickle chutney.,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/DetailPhotos/5005_Hearth__1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/DetailPhotos/5005_Hearth__2.jpg''}}",5056-68,,POINT(246412.280457 6263492.45832),,Hut,Hearth | Platform | Artefact,,
1000071593302700043,3009 {Hearth},Glenn van der Kolk,2020-06-28 00:05:05.294 GMT,Glenn van der Kolk,2020-06-28 00:05:05 GMT,3009,Hearth,Glenn van der Kolk,2020-06-28 10:04:59+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/3009_Hearth__1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/3009_Hearth__2.jpg''}}",-33.739312,150.262674,246407.0563,6263381.874,2.7,"W/NW facing hearth, constructed from roughly courses of unmodified sandstone cobbles of various sizes,  at least 3 courses appear to be intact
Platform: on W/NW side of hearth, cut in on S side, 3.6m wide X 6.5m long,  extent of platform is not well defined, predict subsurface to be relatively intact, ",,,,Ceramic,ceramic plate rim with blue cable transfer (Bec camera 0648/49) and other not so diagnostic ceramic elements,,Bec camera 0638 - 0647,,POINT(246407.056256 6263381.874226),Food service,Dwelling | Artefact | Food,Hearth | Platform | Artefact,,
1000041593303205592,5006 {Hearth},Penny Crook,2020-06-28 00:13:32.290 GMT,Cass Venn,2020-06-28 00:29:21 GMT,5006,Hearth,Penny Crook,2020-06-28 10:13:25+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/5006_Hearth__1.jpg''}}",-33.739553,150.263,246437.9764,6263355.944,2.7,"South facing hearth from locally sourced stone. the hearth is in poor condition stones are of varying sizes, no obvious mortar but some clay around. some grasses growing through interior of hearth. The platform is difficult to discern and appears to be quite small. some stones are protruding from the SW corner of the platform and may be a boundary. a tree growing just inside this boundary.",,,,Glass - Metal,small piece of sheet metal to NE behind the hearth.some dark green bottle glass to nw. ,,Shawn,5067-68,POINT(246437.976409 6263355.944193),Bottle,Hut | Artefact,Hearth | Platform | Artefact,,
1000061593304543052,5007 {Other},Cass Venn,2020-06-28 00:35:47.842 GMT,Cass Venn,2020-06-28 00:35:47 GMT,5007,Other,Cass Venn,2020-06-28 10:35:42+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/5007_Other__1.jpg''}}",,,,,,"fence post, morticed hole for top rail. five drilled holes for wire.",,,,,,,,,,,Work,Fence,,
1000061593304667534,5008 {Other},Cass Venn,2020-06-28 00:37:47.535 GMT,Cass Venn,2020-06-28 00:45:43 GMT,5008,Other,Cass Venn,2020-06-28 10:37:46+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/5008_Other__1.jpg''}}",-33.7399,150.263066,6263317.617,246445.1146,2.1,"fence post, morticed hole for top rail (20 by 10cm). five drilled holes for wire.",,,,,,,Shawn,5069-5070,POINT(246445.114584 6263317.616605),,Work,Fence,,
1000041593305213787,5009 {Other},Penny Crook,2020-06-28 00:46:53.790 GMT,Penny Crook,2020-06-28 00:49:10 GMT,5009,Other,Penny Crook,2020-06-28 10:46:53+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/5009_Other__1.jpg''}}",-33.7398,150.263062,246444.4494,6263328.699,2.1,"fence post, morticed hole for top rail (approx20 by 10cm). five drilled holes for wire.",,,,,,,Shawn,5071,POINT(246444.449385 6263328.698978),,Work,Fence,,
1000041593305448247,5010 {Other},Penny Crook,2020-06-28 00:50:48.247 GMT,Penny Crook,2020-06-28 00:51:21 GMT,5010,Other,Penny Crook,2020-06-28 10:50:47+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/5010_Other__1.jpg''}}",-33.739774,150.263061,246444.2801,6263331.58,2.1,"fence post, morticed hole for top rail (approx20 by 10cm). five drilled holes for wire.",,,,,,,Shawn,5072,POINT(246444.280141 6263331.580493),,Work,Fence,,
1000041593305568992,5011 {Other},Penny Crook,2020-06-28 00:52:48.992 GMT,Penny Crook,2020-06-28 00:54:14 GMT,5011,Other,Penny Crook,2020-06-28 10:52:48+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/5011_Other__1.jpg''}}",-33.739953,150.262935,6263311.415,246433.131,2.4,"fence post, morticed hole for top rail (approx20 by 10cm). five drilled holes for wire.",,,,,,,Shawn,5073,POINT(246433.131032 6263311.415388),,Work,Fence,,
1000041593305698851,5012 {Other},Penny Crook,2020-06-28 00:54:58.852 GMT,Penny Crook,2020-06-28 00:56:18 GMT,5012,Other,Penny Crook,2020-06-28 10:54:58+10:00,,-33.739808,150.263054,246443.7316,6263327.792,2.7,"fallen fence post, morticed hole for top rail (approx20 by 10cm). five drilled holes for wire.",,,,,,,Shawn,5074,POINT(246443.731593 6263327.791916),,Work,Fence,,
1000071593305837701,3010 {Hearth},Glenn van der Kolk,2020-06-28 00:57:22.775 GMT,Glenn van der Kolk,2020-06-28 00:57:22 GMT,3010,Hearth,Glenn van der Kolk,2020-06-28 10:57:17+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/3010_Hearth__1.jpg''}}",-33.739768,150.263388,246474.5653,6263333.051,2.4,"The feature is one of 3 parallel hut sites, this feature is the lowest NE of features 3011 and 301X. 
SE facing hearth constructed from sandstone cobbles, 2 courses in tact on NE 3 courses intact on SW.
Platform: cut in on SE and SW sides, cut is up to .5m deep on SW side, built-up on NE side, 3.2m wide x 7.0m long (with a slight rise at 4m mark), 
Site is surrounded by various deposits of burnt? Torbinite.",,,,Glass - Metal,"metal hoop and fragments of iron sheet metal possibly flue elements, clear bottle glass",,Bec camera 0650-0660,,POINT(246474.565321 6263333.050583),Bottle | Barrel,Dwelling | Artefact,Hearth | Platform | Artefact,3010 | 3011 | 3014,"Associated huts / dwellings or possibly one large, compound dwelling"
1000041593306051901,5013 {Other},Penny Crook,2020-06-28 01:00:51.902 GMT,Penny Crook,2020-06-28 01:02:20 GMT,5013,Other,Penny Crook,2020-06-28 11:00:51+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/5013_Other__1.jpg''}}",-33.739739,150.263068,246444.8257,6263335.48,2.1,"fallen fence post, morticed hole for top rail (approx20 by 10cm). five drilled holes for wire.",,,,,,,Shawn,5075 to 77,POINT(246444.825743 6263335.479992),,Work,Fence,,
1000041593306236011,5014 {Other},Penny Crook,2020-06-28 01:03:56.011 GMT,Penny Crook,2020-06-28 01:05:32 GMT,5014,Other,Penny Crook,2020-06-28 11:03:55+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/5014_Other__1.jpg''}}",-33.739647,150.26304,246441.96,6263345.616,2.1,"2 fallen fence posts, morticed hole for top rail. five drilled holes for wire.",,,,,,,Shawn,5078-79,POINT(246441.960041 6263345.615934),,Work,Other,,
1000041593306633579,5015 {Artefact_scatter},Penny Crook,2020-06-28 01:10:39.379 GMT,Penny Crook,2020-06-28 01:10:39 GMT,5015,Artefact scatter,Penny Crook,2020-06-28 11:10:33+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/5015_Artefact_scatter__1.jpg''}}",-33.739825,150.263001,246438.8702,6263325.776,2.1,small scatter of glass,,,,Glass,all olive green bottle,,,,POINT(246438.870194 6263325.775828),Bottle,Artefact,Artefact,,
1000041593306930375,5016 {Artefact_scatter},Penny Crook,2020-06-28 01:15:30.375 GMT,Penny Crook,2020-06-28 01:15:53 GMT,5016,Artefact scatter,Penny Crook,2020-06-28 11:15:29+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/5016_Artefact_scatter__1.jpg''}}",-33.739844,150.263021,246440.7795,6263323.718,2.7,small scatter of ceramic and glass,,,,Ceramic - Glass,"light green bottle glass, misc moulded ceramic and white ware",,,,POINT(246440.779538 6263323.717519),,,,,
1000071593307093336,3011 {Hearth},Glenn van der Kolk,2020-06-28 01:18:52.740 GMT,Glenn van der Kolk,2020-06-28 01:18:52 GMT,3011,Hearth,Glenn van der Kolk,2020-06-28 11:18:13+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/3011_Hearth__1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/3011_Hearth__2.jpg''}}",-33.739759,150.26336,246471.9441,6263333.98,1.75,"SE facing hearth centred between features 3010 and 301X
max internal length cannot be estimated due to indistinguishable back wall of hearth, constructed from sandstone cobbles of assorted sizes, at least 2 courses intact, .
Platform: 2.8m wide X 4.4 m long, possible drainage channel at SE end",,,,Ceramic - Glass,"ceramic rim of white glaze stoneware chamber pot, white ceramic glaze plate hotelware  with red lettering ''KATOOM'' and''THE CAR'', ceramic assorted other white glaze non diagnostic pieces. Aqua tint rectangular bottle with embossed writing ''pain killer'' on the side. Bec camera 0672 - 0678.",,Bec camera 0660 - 0671,,POINT(246471.944077 6263333.979994),Bottle | Chamber Pot | Food Service,Hut | Artefact | Carrington Hotel | Food | Pharmaceutical | Waste,Hearth | Platform | Artefact,3010 | 3011 | 3014,"Associated huts / dwellings or possibly one large, compound dwelling"
1000041593308585222,5017 {Hearth},Penny Crook,2020-06-28 01:43:07.204 GMT,Penny Crook,2020-06-28 01:43:07 GMT,5017,Hearth,Penny Crook,2020-06-28 11:43:05+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/5017_Hearth__1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/5017_Hearth__2.jpg''}, ''3'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/5017_Hearth__3.jpg''}}",-33.740059,150.263288,246466.1554,6263300.526,2.4,"Deep hearth facing NE measuring 1.5 and 1.7m standing 1.4m, 7 courses high. rubble fall extending 4.5 m either side. at least 7 red fire bricks amongst the ruins. area of the potential platform is under large fallen terrace.",,,,Ceramic - Glass (olive green bottle champagne base) - Metal,various frags of glass and ceramic. possible tent peg or spike. 3 large bolts with screw threads. rod or bolt. rectangular brace 12 by 9 by 3cm. two straps each with 4 perforations. various nails.,,5086 to 5093; 5109 to 5122,,POINT(246466.155384 6263300.526207),Buidling material | Bottle,Dwelling | Artefact | Food | Alcohol,Hearth | Platform | Artefact,3012 | 5017 | 5019,Part of same structure
1000041593309872896,5018 {Other},Penny Crook,2020-06-28 02:04:36.272 GMT,Penny Crook,2020-06-28 02:20:20 GMT,5018,Other,Penny Crook,2020-06-28 12:04:32+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/5018_Other__1.jpg''}}",-33.739934,150.263421,246478.1123,6263314.719,2.7,square depression 85 long at least 60 wide. novisible,,,possible latrine or rubbish pit?,,,,Shawn,5082-5085,POINT(246478.112249 6263314.718696),,Pit | Waste,Depression,,
1000041593315130494,5019 {Other},Penny Crook,2020-06-28 03:32:53.150 GMT,Penny Crook,2020-06-28 03:32:53 GMT,5019,Other,Penny Crook,2020-06-28 13:32:10+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/5019_Other__1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/5019_Other__2.jpg''}, ''3'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/5019_Other__3.jpg''}}",-33.740093,150.263369,6263296.954,246473.7617,5.1,"west facing stone oven standing 1.1 m high with possible wall (or rubble) to the north . aperture at base is 45cm high, 30 cm wide, narrows to 20cm. metal bar inside appears in situ. evidence of cylindrical pillars or posts each side of chamber. rubble wall various sized stones with yellow clay mortar with lumps of termite mound. at least three lenses of sheet metal visible on the right. East of hearth 5017, likely same building but platform obscured by fallen trees.",,,,Ceramic - Glass - Metal - Other,Rockingham ware fragment to the south of the feature. metal bar within the oven close to floor level. nail sitting on top of feature. fragmented metal vessel to the west of feature c 1m away. olive green glass fragment. brick sitting on top of feature. quartz cobbles on top NE side of feature.,,Shawn 5094 to 5108,,POINT(246473.761696 6263296.954141),Cooking | Building material | Implement | Chamber pot,Artefact | Food | Dwelling | Building material | Waste,Oven,3012 | 5017 | 5019,Part of same structure
1000041593318801487,3012 {Rectangular},Penny Crook,2020-06-28 04:33:34.282 GMT,Penny Crook,2020-06-28 04:33:34 GMT,3012,Rectangular,Penny Crook,2020-06-28 14:33:21+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/3012_Rectangular__1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/3012_Rectangular__2.jpg''}}",-33.740168,150.263558,246491.497,6263289.1,16.8,platform underlying hearth 5017 and stone oven 5019. appears to be cut approx 30cm from ground level on South side. Centre is obscured by fallen trees.,,,,,,,Shawn camera 5123 - 5126,,POINT(246491.496974 6263289.099961),,Dwelling,Platform,3012 | 5017 | 5019,"Judging from dSLR photos, this platform is indeed connected to 5017 | 5019, and the GPS point is in error. Accuracy is reported at 16.8m, unusually low, and approx. the offset from the other parts of the feature."
1000041593321229208,1 {Artefact_scatter},Penny Crook,2020-06-28 05:13:53.490 GMT,Cass Venn,2020-06-29 00:53:15 GMT,1,Artefact scatter,Penny Crook,2020-06-28 15:13:49+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/1_Artefact_scatter__1.jpg''}}",-33.74023715,150.2631737,246456.0843,6263280.484,5.36,Scatter of ceramic and glass SW of hearth 5017. At least 50 pieces. Some under leaf litter. ,,,,Ceramic - Glass - Metal,Brown tp plate with base mark BE... Pcln teacup bases. Light green bottle marked (g)oodall and blackman. Bristol bottle base. ,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/DetailPhotos/1_Artefact_scatter__1.jpg''}}",Shawn,5180-5194,POINT(246456.08429 6263280.4841),Food service | Bottle,Artefact | Food | Alcohol,Artefact,,
1000071593321144011,3014 {Hearth},Glenn van der Kolk,2020-06-28 05:14:38.426 GMT,Glenn van der Kolk,2020-06-28 05:14:38 GMT,3014,Hearth,Glenn van der Kolk,2020-06-28 15:12:23+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/3014_Hearth__1.jpg''}}",-33.739801,150.263347,246470.8631,6263329.289,2.1,"low stone hearth, SE facing and is W most, associated with features 3010 and 3011, hearth is not well defined and is constructed mainly of sandstone and one brick. NE margin of platform directly abuts platform of 3011, line of at least 4 sandstone blocks at .6m to 1.0 m intervals 2.6m width X 4.2 m length",,,,Ceramic,,,Bec camera 0679- 0684 Shawn 5150-5155,,POINT(246470.863063 6263329.28928),,Dwelling | Artefact,Hearth | Platform | Artefact,3010 | 3011 | 3014,"Associated huts / dwellings or possibly one large, compound dwelling"
1000041593329437935,5020,Penny Crook,2020-06-28 07:31:11.492 GMT,Penny Crook,2020-06-28 07:31:11 GMT,5020,,Penny Crook,2020-06-28 17:30:37+10:00,,,,,,,,,,,,,,,,,,,,,
1000021593384880165,1010 {Isolated_find},Shawn  Ross,2020-06-28 22:54:44.087 GMT,Shawn  Ross,2020-06-28 22:54:44 GMT,1010,Isolated find,Shawn  Ross,2020-06-29 08:54:40+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/1010_Isolated_find__1.jpg''}}",-33.737164,150.26254,246388.3112,6263619.805,2.1,Two shards white glaze ceramics,,,,,,,,,POINT(246388.311225 6263619.805234),,Artefact,Artefact,,
1000061593386013215,3015 {Hearth},Cass Venn,2020-06-28 23:13:43.000 GMT,Cass Venn,2020-06-28 23:31:48 GMT,3015,Hearth,Cass Venn,2020-06-29 09:13:33+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/3015_Hearth__1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/3015_Hearth__2.jpg''}}",-33.737496,150.262677,246401.9852,6263583.316,2,W facing. very distinct architecture (horseshoe). no others located close by. assorted sandstone cobbles. at least two courses in tact on southern side. rectilinear to horseshoe shaped - apsidal. at least 10cm of deposit across interior of hearth. possible stone floor underneath that indicated by single cobbles on front edge. platform indistinct obstructed by ferns. edge not discernible.,,,,,no artefacts seen.,,Shawn,5134-5142,POINT(246401.98519 6263583.316227),,Dwelling,Hearth | Platform,,
1000021593387586832,1011 {Artefact_scatter},Shawn  Ross,2020-06-28 23:39:53.182 GMT,Shawn  Ross,2020-06-28 23:39:53 GMT,1011,Artefact scatter,Shawn  Ross,2020-06-29 09:39:46+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/1011_Artefact_scatter__1.jpg''}}",-33.738914,150.262732,246411.2588,6263426.164,1.75,2 shards per sq m average,,,,"Ceramic (white glaze stoneware, porcelain, blue transfer cable, part of plates and tableware. white glaze moulded handle.) - Glass (olive green, light green, clear, dark blue. gin case bottles and round bottles. pressed glass)",,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/DetailPhotos/1011_Artefact_scatter__1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/DetailPhotos/1011_Artefact_scatter__2.jpg''}, ''3'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/DetailPhotos/1011_Artefact_scatter__3.jpg''}, ''4'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/DetailPhotos/1011_Artefact_scatter__4.jpg''}}",,,POINT(246411.258785 6263426.163974),Food service | Bottle,Artefact | Food | Alcohol,Artefact,,
